https://www.astroleague.org/files/dblstar2017.pdf
a -in astro planner

[ a ]	, 1 	, Eta Cassiopeiae 		,00 h  49 m .1 ,+57° 49'
[ a ]	, 2 	, 65 Piscium 			,00 h  49 m .9 ,+27° 43'
[ a ]	, 3 	, Psi 1 Piscium 		,01 h  05 m .6 ,+21° 28' 
[ a ]	, 4 	, Zet Piscium 			,01 h  13 m .7 ,+07° 35' 
[ a ]	, 5 	, Gam Arietis 			,01 h  53 m .5 ,+19° 18' 
[ a ]	, 6 	, Lambda Arietis 		,01 h  57 m .9 ,+23° 36' 
[ a ]	, 7 	, Alp Piscium 			,02 h  02 m .0 ,+02° 46' 
[ a ]	, 8 	, Gam Andromedae 		,02 h  03 m .9 ,+42° 20' 
[ a ]	, 9 	, Iot Trianguli 		,02 h  12 m .4 ,+30° 18' 
[ a ]	, 10 	, Alp Ursa Minoris 		,02 h  31 m .8 ,+89° 16' 
[ a ]	, 11 	, Gam Ceti 			,02 h  43 m .3 ,+03° 14' 
[ a ]	, 12 	, Eta Persei 			,02 h  50 m .7 ,+55° 54' 
[ a ]	, 13 	, Struve 331 			,03 h  00 m .9 ,+52° 21' 
[ a ]	, 14 	, 32 Eridani 			,03 h  54 m .3 ,-02° 57' 
[ a ]	, 15 	, Chi Tauri 			,04 h  22 m .6 ,+25° 38'
[ a ]	, 16 	, 1 Camelopardalis 		,04 h  32 m .0 ,+53° 55' 
[ a ]	, 17 	, 55 Eridani 			,04 h  43 m .6 ,-08° 48' 
[ a ]	, 18 	, Bet Ori 			,05 h  14 m .5 ,-08° 12' 
[ a ]	, 19 	, 118 Tauri 			,05 h  29 m .3 ,+25° 09' 
[ a ]	, 20 	, Del Ori 			,05 h  32 m .0 ,-00° 18' 
[ a ]	, 21 	, Struve 747 			,05 h  35 m .0 ,-06° 00' 
[ a ]	, 22 	, Lam Ori 			,05 h  35 m .1 ,+09° 56' 
[ a ]	, 23 	, The 1 Ori 			,05 h  35 m .3 ,-05° 23'
[ a ]	, 24 	, Iot Ori 			,05 h  35 m .4 ,-05° 55' 
