2016-11-22 09:14:05
Vendor	Model	Focal Length	f/Ratio
Canon	EF 100mm f/2	100	2
Canon	EF 100mm f/2.8	100	2.8
Canon	EF 1200mm f/5.6	1200	5.6
Canon	EF 135mm f/2	135	2
Canon	EF 135mm f/2.8	135	2.8
Canon	EF 14mm f/2.8	14	2.8
Canon	EF 15mm f/2.8 Fisheye	15	2.8
Canon	EF 180mm f/3.5	180	3.5
Canon	EF 200mm f/1.8	200	1.8
Canon	EF 200mm f/2	200	2
Canon	EF 200mm f/2.8	200	2.8
Canon	EF 20mm f/2.8	20	2.8
Canon	EF 24mm f/1.4	24	1.4
Canon	EF 24mm f/2.8	24	2.8
Canon	EF 28mm f/1.8	28	1.8
Canon	EF 28mm f/2.8	28	2.8
Canon	EF 28mm f/2.8	28	2.8
Canon	EF 300mm f/2.8	300	2.8
Canon	EF 300mm f/4	300	4
Canon	EF 35mm f/1.4	35	1.4
Canon	EF 35mm f/2	35	2
Canon	EF 400mm f/2.8	400	2.8
Canon	EF 400mm f/4	400	4
Canon	EF 400mm f/5.6	400	5.6
Canon	EF 40mm f/2.8	40	2.8
Canon	EF 500mm f/4	500	4
Canon	EF 500mm f/4.5	500	4.5
Canon	EF 50mm f/1	50	1
Canon	EF 50mm f/1.2	50	1.2
Canon	EF 50mm f/1.4	50	1.4
Canon	EF 50mm f/1.8	50	1.8
Canon	EF 50mm f/2.5	50	2.5
Canon	EF 600mm f/4	600	4
Canon	EF 800mm f/5.6	800	5.6
Canon	EF 85mm f/1.2	85	1.2
Canon	EF 85mm f/1.8	85	1.8
Canon	EF-S 60mm f/2.8 Macro	60	2.8
Canon	EF-S 60mm f/2.8 Macro	60	2.8
Canon	FD 100mm f/2	100	2
Canon	FD 100mm f/2.8	100	2.8
Canon	FD 100mm f/4 Macro	100	4
Canon	FD 135mm f/2	135	2
Canon	FD 135mm f/2.5	135	2.5
Canon	FD 135mm f/2.8	135	2.8
Canon	FD 135mm f/3.5	135	3.5
Canon	FD 14mm f/2.8	14	2.8
Canon	FD 15mm f/2.8 Fisheye	15	2.8
Canon	FD 17mm f/4	17	4
Canon	FD 200mm f/1.8	200	1.8
Canon	FD 200mm f/2.8	200	2.8
Canon	FD 200mm f/4	200	4
Canon	FD 200mm f/4 Macro	200	4
Canon	FD 20mm f/2.8	20	2.8
Canon	FD 24mm f/1.4	24	1.4
Canon	FD 24mm f/2	24	2
Canon	FD 24mm f/2.8	24	2.8
Canon	FD 28mm f/2	28	2
Canon	FD 28mm f/2.8	28	2.8
Canon	FD 28mm f/3.5	28	3.5
Canon	FD 300mm f/2.8	300	2.8
Canon	FD 300mm f/4	300	4
Canon	FD 300mm f/5.6	300	5.6
Canon	FD 35mm f/2	35	2
Canon	FD 35mm f/2.8	35	2.8
Canon	FD 35mm f/3.5	35	3.5
Canon	FD 400mm f/2.8	400	2.8
Canon	FD 400mm f/4.5	400	4.5
Canon	FD 500mm f/4.5	500	4.5
Canon	FD 500mm f/8	500	8
