2014-05-12 17:28:45
Manufacturer	Model	F.Length (mm)	AFOV (*)	Barrel (")	Reticle
Agena AstroProducts	ED 12.5mm	12.5	50	1.25	
Agena AstroProducts	ED 14mm	14	50	1.25	
Agena AstroProducts	ED 18mm	18	50	1.25	
Agena AstroProducts	ED 21mm	21	50	1.25	
Agena AstroProducts	ED 25mm	25	50	1.25	
Agena AstroProducts	ED 3.8mm	3.8	50	1.25	
Agena AstroProducts	ED 5.2mm	5.2	50	1.25	
Agena AstroProducts	ED 7.5mm	7.5	50	1.25	
Agena AstroProducts	ED 9.5mm	9.5	50	1.25	
Agena AstroProducts	SWA 10mm	10	70	1.25	
Agena AstroProducts	SWA 15mm	15	70	1.25	
Agena AstroProducts	SWA 20mm	20	70	1.25	
Agena AstroProducts	SWA 26mm	26	70	2	
Agena AstroProducts	SWA 32mm	32	70	2	
Agena AstroProducts	SWA 38mm	38	70	2	
Agena AstroProducts	UWA 11mm	11	80	1.25	
Agena AstroProducts	UWA 15mm	15	80	2	
Agena AstroProducts	UWA 16mm	16	80	1.25	
Agena AstroProducts	UWA 20mm	20	80	2	
Agena AstroProducts	UWA 30mm	30	80	2	
Agena AstroProducts	WA 12mm	12	60	1.25	
Agena AstroProducts	WA 17mm	17	65	1.25	
Agena AstroProducts	WA 20mm	20	65	1.25	
Agena AstroProducts	WA 8mm	8	60	1.25	
Antares	SWA 13.4mm	13.4	80	1.25	
Antares	SWA 17mm	17	80	1.25	
Antares	SWA 4.9mm	4.9	80	1.25	
Antares	SWA 7.2mm	7.2	80	1.25	
Antares	SWA 9.4mm	9.4	80	1.25	
Antares	W70 15mm	15	70	1.25	
Antares	W70 34mm	34	70	2	
Antares	W70 4.3mm	4.3	70	1.25	
Antares	W70 5.7mm	5.7	70	1.25	
Antares	W70 8.6mm	8.6	70	1.25	
Astro-Physics	SP 10mm	10	42	1.25	
Astro-Physics	SP 12mm	12	42	1.25	
Astro-Physics	SP 4mm	4	42	1.25	
Astro-Physics	SP 5mm	5	42	1.25	
Astro-Physics	SP 6mm	6	42	1.25	
Astro-Physics	SP 8mm	8	42	1.25	
Astrobuffet	1rpd 30mm ST80	30	80	2	
Baader	Eudiascopic 10mm	10	44.4	1.25	
Baader	Eudiascopic 15mm	15	45.2	1.25	
