2017-09-28 06:54:19
Vendor	Model	Main Sensor	Max Bin	Guide Sensor	Guide Offset X (mm)	Guide Offset Y (mm)
Apogee	Alta F1	KAF-0402ME			0	0
Apogee	Alta F1007	S10140-1007			0	0
Apogee	Alta F1008	S10140-1008			0	0
Apogee	Alta F1009	S10140-1009			0	0
Apogee	Alta F1107	S10140-1107			0	0
Apogee	Alta F1108	S10141-1108			0	0
Apogee	Alta F1109	S10140-1109			0	0
Apogee	Alta F16	KAF-16801E			0	0
Apogee	Alta F16000	KAI-16000			0	0
Apogee	Alta F2	KAF-1603ME			0	0
Apogee	Alta F2000	KAI-2020			0	0
Apogee	Alta F230	CCD230-42			0	0
Apogee	Alta F260	KAF-0261E			0	0
Apogee	Alta F30	CCD30-11			0	0
Apogee	Alta F30-OE	CCD30-11			0	0
Apogee	Alta F3041	CCD3041			0	0
Apogee	Alta F32	KAF-3200ME			0	0
Apogee	Alta F39000	KAF-39000			0	0
Apogee	Alta F4000	KAI-04022			0	0
Apogee	Alta F42	CCD42-40			0	0
Apogee	Alta F43	KAF-4301E			0	0
Apogee	Alta F4320	KAF-4301E			0	0
Apogee	Alta F47	CCD47-10			0	0
Apogee	Alta F6	KAF-1001E			0	0
Apogee	Alta F77	CCD77-00			0	0
Apogee	Alta F8300	KAF-8300			0	0
Apogee	Alta F9	KAF-6303E			0	0
Apogee	Alta F9000	KAF-9000			0	0
Apogee	Alta U1	KAF-0402ME			0	0
Apogee	Alta U10	TH7899			0	0
Apogee	Alta U1107	S10141-1107			0	0
Apogee	Alta U16	KAF-16801E			0	0
Apogee	Alta U2	KAF-1603E			0	0
Apogee	Alta U2000	KAI-2020			0	0
Apogee	Alta U260	KAF-0261E			0	0
Apogee	Alta U30	CCD30-11			0	0
Apogee	Alta U32	KAF-3200E			0	0
Apogee	Alta U4000	KAI-4021			0	0
Apogee	Alta U42	CCD42-40			0	0
Apogee	Alta U47	CCD47-10			0	0
Apogee	Alta U6	KAF-1001E			0	0
Apogee	Alta U77	CCD77-00			0	0
Apogee	Alta U9	KAF-6303E			0	0
Apogee	AP10	TH7899			0	0
Apogee	AP16E	KAF-16801E			0	0
Apogee	AP1E	KAF-0401E			0	0
Apogee	AP260E	KAF-0261E			0	0
Apogee	AP2E	KAF-1603E			0	0
Apogee	AP32ME	KAF-3200E			0	0
Apogee	AP360	KAF-0261E			0	0
Apogee	AP4	KAF-4202			0	0
Apogee	AP47p	CCD47-10			0	0
Apogee	AP6E	KAF-1001E			0	0
Apogee	AP7ap	CCD77-00			0	0
Apogee	AP8p	KAF-1001E			0	0
Apogee	AP9E	KAF-6303E			0	0
Apogee	Ascent A1	KAF-0402ME			0	0
Apogee	Ascent A1007	S10141-1007			0	0
Apogee	Ascent A1008	S10141-1008			0	0
Apogee	Ascent A1009	S10141-1009			0	0
Apogee	Ascent A1050	KAI-1050			0	0
Apogee	Ascent A105C	KAF-10500			0	0
Apogee	Ascent A11000	KAI-11002			0	0
Apogee	Ascent A1107	S10141-1107			0	0
Apogee	Ascent A1108	S10141-1108			0	0
Apogee	Ascent A1109	S10141-1109			0	0
Apogee	Ascent A16000	KAI-16000			0	0
Apogee	Ascent A2	KAF-1603E			0	0
Apogee	Ascent A2000	KAI-2020			0	0
Apogee	Ascent A205	ICX205			0	0
Apogee	Ascent A2050	KAI-2050			0	0
Apogee	Ascent A2150	KAI-2150			0	0
Apogee	Ascent A260	KAF-0261E			0	0
Apogee	Ascent A285	ICX285AL			0	0
Apogee	Ascent A29050	KAI-29050			0	0
Apogee	Ascent A32	KAF-3200E			0	0
Apogee	Ascent A340	KAI-0340			0	0
Apogee	Ascent A4000	KAI-4022			0	0
Apogee	Ascent A4050	KAI-4050			0	0
Apogee	Ascent A8050	KAF-8300E			0	0
Apogee	Ascent A8300	KAF-8300E			0	0
Apogee	Ascent A9	KAF-6303E			0	0
Apogee	Ascent A98	S9840			0	0
Apogee	Ascent EM247	TC-247			0	0
Apogee	KX260	KAF-0261E			0	0
Apogee	KX85	KAF-1401E			0	0
Atik	11000	KAF-11002M			0	0
Atik	314L+	ICX285AL			0	0
Atik	320E	ICX274AL			0	0
Atik	383L+	KAF-8300			0	0
Atik	4000	KAI-4020M			0	0
Atik	4000LE	KAI-4020M			0	0
Atik	4120EX	ICX834AQG			0	0
Atik	414EX	ICX825			0	0
Atik	420	ICX274AL			0	0
Atik	428EX	ICX674			0	0
Atik	450	ICX655			0	0
Atik	460EX	ICX694			0	0
Atik	490EX	ICX814			0	0
