2017-04-24 14:45:03
Vendor	Model	Aperture (mm)	Focal Length (mm)	Finder FOV (*)	Protocol	Subtype	Optics (1=Refractor,2=Newt,3=Cass,4=Schmidt,5=SCT,6=Mak-Cass,7=Mak-Newt,8=RC,9=Dall-Kirkham,10=Schmidt-Newt)
10 Micron	RC-360 F/8	360	2880	0		0	8
Antares	10 inch Dobsonian	250	1200	0		0	2
Antares	1149 EQ3	114	900	0		0	2
Antares	12 inch Dobsonian	300	1500	0		0	2
Antares	12012 EQ5	127	1220	0		0	1
Antares	1208 EQ5	127	820	0		0	1
Antares	1529 EQ5	152	990	0		0	1
Antares	515 EQ3	152	750	0		0	2
Antares	520 EQ5	200	1000	0		0	2
Antares	8 inch Dobsonian	200	1200	0		0	2
Antares	905 AZ1	90	500	0		0	1
Antares	Model 1056	105	660	0		0	1
Antares	Sentinel	80	480	0		0	1
Antares	Vixen Spec 100	100	1300	0		0	1
Antares	Vixen Spec 90	90	1000	0		0	1
Apogee	Astele 102 Lomo Mak-Newt	102	561	0		0	7
Apogee	Astele 133.5 Mak-Cass	133.5	1352	0		0	6
Apogee	Astele 150 Mak-Cass	150	2134	0		0	6
Apogee	Astele 180 Mak-Cass	180	1800	0		0	6
Apogee	Astele 203 Mak-Cass	203	2030	0		0	6
Apogee	Astele 70	70	890	0		0	1
Apogee	Astele 95	95	1200	0		0	1
Apogee	Series 115 100mm F4	100	400	0		0	1
Apogee	Series 115 125mm F2.8	125	350	0		0	1
Apogee	Series 115 125mm F4	135	540	0		0	1
Apogee	Series 140 150mm F4.2	150	630	0		0	1
Apogee	Series 140 150mm F6.7	150	1005	0		0	1
Apogee	Widestar 127	127	826	0		0	1
Astro-Physics	10" f/14.6 Mak-Cass	254	3708	0		0	6
Astro-Physics	105mm f/6 Traveler	105	610	0		0	1
Astro-Physics	130mm f/6 StarFire	130	780	0		0	1
Astro-Physics	130mm f/8.35 StarFire	130	1085	0		0	1
Astro-Physics	130mm f6.3 Starfire EDF "Gran Turismo"	130	819	0		0	1
Astro-Physics	155mm f/7 StarFire	155	1085	0		0	1
Astro-Physics	92mm f/7 Stowaway	92	604	0		0	1
Astro-Tech	10" f/4 Imaging Newtonian	250	1000	0		0	2
Astro-Tech	10" f/8 RC	250	2000	0		0	8
Astro-Tech	12" f/4 Imaging Newtonian	300	1200	0		0	2
